listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,inf,3.0,2.0,hard,0.3,0.015019561920066678,0.00023019295930862827,0.0012350646131380927
cred,inf,3.0,2.0,hard,0.5,0.017106498025854427,0.0007500910758972168,0.002223975669185165
cred,inf,3.0,2.0,hard,0.7,0.015771757594744355,0.0003683799505233587,0.001550921235975693
cred,inf,3.0,2.0,hard,0.9,0.007373296433687233,1.6450881960228258e-07,1.7115698340965934e-05
cred,inf,3.0,2.0,hard_amnesic,0.1,0.007051814402639862,5.275011062066959e-08,1.4421760510017201e-05
cred,inf,3.0,2.0,hard_amnesic,0.3,0.015019561920066678,0.00023019295930862827,0.0012350646131380927
cred,inf,3.0,2.0,hard_amnesic,0.5,0.017106498025854427,0.0007500910758972168,0.002223975669185165
cred,inf,3.0,2.0,hard_amnesic,0.7,0.015771757594744355,0.0003683799505233587,0.001550921235975693
cred,inf,3.0,2.0,hard_amnesic,0.9,0.007373296433687233,1.6450881960228258e-07,1.7115698340965934e-05
cred,inf,3.0,2.0,soft,0.1,0.007051814402639862,5.275011062066959e-08,1.4421760510017201e-05
cred,inf,3.0,2.0,soft,0.3,0.015019561920066678,0.00023019295930862827,0.0012350646131380927
cred,inf,3.0,2.0,soft,0.5,0.017106498025854427,0.0007500910758972168,0.002223975669185165
cred,inf,3.0,2.0,soft,0.7,0.015771757594744355,0.0003683799505233587,0.001550921235975693
cred,inf,3.0,2.0,soft,0.9,0.007373296433687233,1.6450881960228258e-07,1.7115698340965934e-05
cred,inf,3.0,3.5,hard,0.1,0.007051814402639862,5.275011062066959e-08,1.4421760510017201e-05
cred,inf,3.0,3.5,hard,0.3,0.015019561920066678,0.00023019295930862827,0.0012350646131380927
cred,inf,3.0,3.5,hard,0.5,0.017106498025854427,0.0007500910758972168,0.002223975669185165
cred,inf,3.0,3.5,hard,0.7,0.015771757594744355,0.0003683799505233587,0.001550921235975693
cred,inf,3.0,3.5,hard,0.9,0.007373296433687233,1.6450881960228258e-07,1.7115698340965934e-05
cred,inf,3.0,3.5,hard_amnesic,0.1,0.007051814402639862,5.275011062066959e-08,1.4421760510017201e-05
cred,inf,3.0,3.5,hard_amnesic,0.3,0.015019561920066678,0.00023019295930862827,0.0012350646131380927
cred,inf,3.0,3.5,hard_amnesic,0.5,0.017106498025854427,0.0007500910758972168,0.002223975669185165
cred,inf,3.0,3.5,hard_amnesic,0.7,0.015771757594744355,0.0003683799505233587,0.001550921235975693
cred,inf,3.0,3.5,hard_amnesic,0.9,0.007373296433687233,1.6450881960228258e-07,1.7115698340965934e-05
cred,inf,3.0,3.5,soft,0.1,0.007051814402639862,5.275011062066959e-08,1.4421760510017201e-05
cred,inf,3.0,3.5,soft,0.3,0.015019561920066678,0.00023019295930862827,0.0012350646131380927
cred,inf,3.0,3.5,soft,0.5,0.017106498025854427,0.0007500910758972168,0.002223975669185165
cred,inf,3.0,3.5,soft,0.7,0.015771757594744355,0.0003683799505233587,0.001550921235975693
