theta_star,psi_star,alpha,c,switch_type,bin,n,n_pers_only,n_inf_only,n_both,n_neither,sum_p_pers,sum_p_inf
0.5,high,1.5,2.0,soft,1,168,28,31,31,78,58.35599180790063,55.62329858923246
0.5,high,1.5,2.0,soft,2,209,29,32,38,110,72.13039988667602,69.35156904662726
0.5,high,1.5,2.0,soft,3,271,44,48,39,140,95.58197515281532,90.5488957628591
0.5,high,1.5,2.0,soft,4,137,26,19,23,69,47.68031498549276,45.74483206729158
0.5,high,1.5,2.0,soft,5,80,12,15,13,40,28.35552700013551,26.30690140462087
0.5,high,1.5,3.5,hard,0,152,32,22,24,74,53.073744226839466,50.45358676789702
0.5,high,1.5,3.5,hard,1,415,65,60,84,206,143.29258341251847,136.81195653773705
0.5,high,1.5,3.5,hard,2,832,134,138,157,403,287.42395980957235,274.53262764328076
0.5,high,1.5,3.5,hard,3,1201,215,202,214,570,408.87220516878864,397.39238497832014
0.5,high,1.5,3.5,hard,4,780,112,132,144,392,262.5386627875933,259.0130866759339
0.5,high,1.5,3.5,hard,5,388,68,68,65,187,130.361497679476,130.29884294482358
