listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
vig,inf,10.0,2.0,hard,0.013054387635125056,0.000612854778766632,0.0017470331648069173
vig,inf,10.0,2.0,hard_amnesic,0.013054387635125056,0.000612854778766632,0.0017470331648069173
vig,inf,10.0,2.0,soft,0.013054387635125056,0.000612854778766632,0.0017470331648069173
vig,inf,10.0,3.5,hard,0.013054387635125056,0.000612854778766632,0.0017470331648069173
vig,inf,10.0,3.5,hard_amnesic,0.013054387635125056,0.000612854778766632,0.0017470331648069173
vig,inf,10.0,3.5,soft,0.013054387635125056,0.000612854778766632,0.0017470331648069173
vig,low,1.5,2.0,hard,0.028936457815269635,0.007333394701282185,0.012923738603749086
vig,low,1.5,2.0,hard_amnesic,0.028936457815269635,0.007333394701282185,0.012923738603749086
vig,low,1.5,2.0,soft,0.028936457815269635,0.007333394701282185,0.012923738603749086
vig,low,1.5,3.5,hard,0.028936457815269635,0.007333394701282185,0.012923738603749086
vig,low,1.5,3.5,hard_amnesic,0.028936457815269635,0.007333394701282185,0.012923738603749086
vig,low,1.5,3.5,soft,0.028936457815269635,0.007333394701282185,0.012923738603749086
vig,low,3.0,2.0,hard,0.03258754157476955,0.009017848417162896,0.013664802231825965
vig,low,3.0,2.0,hard_amnesic,0.03258754157476955,0.009017848417162896,0.013664802231825965
vig,low,3.0,2.0,soft,0.03258754157476955,0.009017848417162896,0.013664802231825965
vig,low,3.0,3.5,hard,0.03258754157476955,0.009017848417162896,0.013664802231825965
vig,low,3.0,3.5,hard_amnesic,0.03258754157476955,0.009017848417162896,0.013664802231825965
vig,low,3.0,3.5,soft,0.03258754157476955,0.009017848417162896,0.013664802231825965
vig,low,10.0,2.0,hard,0.03434478187183539,0.009521653011441233,0.013555293998257412
vig,low,10.0,2.0,hard_amnesic,0.03434478187183539,0.009521653011441233,0.013555293998257412
vig,low,10.0,2.0,soft,0.03434478187183539,0.009521653011441233,0.013555293998257412
vig,low,10.0,3.5,hard,0.03434478187183539,0.009521653011441233,0.013555293998257412
vig,low,10.0,3.5,hard_amnesic,0.03434478187183539,0.009521653011441233,0.013555293998257412
vig,low,10.0,3.5,soft,0.03434478187183539,0.009521653011441233,0.013555293998257412
