listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,high,10.0,3.5,hard_amnesic,0.1,0.13791134516398112,0.10032470474640529,0.0012559688422281094
cred,high,10.0,3.5,hard_amnesic,0.3,0.08247396543158425,0.015002687970797226,0.006987903975459631
cred,high,10.0,3.5,hard_amnesic,0.5,0.15068914589616986,0.13519534567991892,0.021544455677455214
cred,high,10.0,3.5,hard_amnesic,0.7,0.022457225116093993,0.0029904935757319564,0.00785055185206147
cred,high,10.0,3.5,hard_amnesic,0.9,0.07916101997428474,0.08873511652151747,0.007729259095932169
cred,high,10.0,3.5,soft,0.1,0.13791134516398112,0.10032470474640529,0.0012559688422281094
cred,high,10.0,3.5,soft,0.3,0.08247396543158425,0.015002687970797226,0.006987903975459631
cred,high,10.0,3.5,soft,0.5,0.15068914589616986,0.13519534567991892,0.021544455677455214
cred,high,10.0,3.5,soft,0.7,0.022457225116093993,0.0029904935757319564,0.00785055185206147
cred,high,10.0,3.5,soft,0.9,0.07916101997428474,0.08873511652151747,0.007729259095932169
cred,inf,1.5,2.0,hard,0.1,0.00917996760871675,0.0006706517189741079,0.0008611121158548711
cred,inf,1.5,2.0,hard,0.3,0.018570260303715867,0.0006074330210685745,0.00270007105973491
cred,inf,1.5,2.0,hard,0.5,0.02300611980424987,0.002526615560054779,0.00515794636545858
cred,inf,1.5,2.0,hard,0.7,0.015654649533828092,0.00026447455088295747,0.0016407207764738512
cred,inf,1.5,2.0,hard,0.9,0.007875284867154251,3.4769376141182326e-08,1.1008602312371589e-05
cred,inf,1.5,2.0,hard_amnesic,0.1,0.00917996760871675,0.0006706517189741079,0.0008611121158548711
cred,inf,1.5,2.0,hard_amnesic,0.3,0.018570260303715867,0.0006074330210685745,0.00270007105973491
cred,inf,1.5,2.0,hard_amnesic,0.5,0.02300611980424987,0.002526615560054779,0.00515794636545858
cred,inf,1.5,2.0,hard_amnesic,0.7,0.015654649533828092,0.00026447455088295747,0.0016407207764738512
cred,inf,1.5,2.0,hard_amnesic,0.9,0.007875284867154251,3.4769376141182326e-08,1.1008602312371589e-05
cred,inf,1.5,2.0,soft,0.1,0.00917996760871675,0.0006706517189741079,0.0008611121158548711
cred,inf,1.5,2.0,soft,0.3,0.018570260303715867,0.0006074330210685745,0.00270007105973491
cred,inf,1.5,2.0,soft,0.5,0.02300611980424987,0.002526615560054779,0.00515794636545858
cred,inf,1.5,2.0,soft,0.7,0.015654649533828092,0.00026447455088295747,0.0016407207764738512
